longitude;latitude;gdh;label
-1.3011527777778;14.797238888889;08/02/2021 07:49;EO
-1.5661111111111;15.233055555556;08/02/2021 22:05;IED
-7.0120583333333;14.891988888889;09/02/2021 11:10;IED
1.0948416666667;18.305638888889;09/02/2021 14:05;IED
-2.6865444444444;15.031483333333;10/02/2021 08:07;IED + EO +ALI
0.99815;20.241583333333;10/02/2021 10:11;EO
-2.6517356974712;15.092901769277;11/02/2021 08:58;IED
-1.3216666666667;15.596388888889;12/02/2021 11:50;IED
-4.0647777777778;14.497;13/02/2021 18:40;IED
1.4181111111111;18.4243;13/02/2021 19:27;IED
0.056861111111111;16.332211111111;14/02/2021 12:43;EO
-5.2492194444444;14.826380555556;14/02/2021 15:30;IED
-2.7628416666667;15.063138888889;15/02/2021 07:20;IED
-3.6045888888889;14.326202777778;16/02/2021 10:56;IED
1.0195444444444;20.258166666667;19/02/2021 12:27;EO
1.1880555555556;13.371944444444;21/02/2021 09:57;IED
-2.8242666666667;15.391497222222;21/02/2021 11:00;IED + ALI
1.1508333333333;13.648611111111;21/02/2021 20:00;IED
-3.3897222222222;15.134444444444;22/02/2021 12:35;IED
14.672777777778;13.356111111111;23/02/2021 05:50;IED
13.951666666667;13.585;23/02/2021 11:44;IED
-3.9161138888889;14.79085;23/02/2021 12:24;IED + ALI
2.4144082820473;16.173353159841;25/02/2021 09:04;EO
2.363025;15.933972222222;25/02/2021 11:45;EO
4.7830555555556;16.138333333333;26/02/2021 09:20;IED
-4.9959611111111;13.825891666667;27/02/2021 02:10;IED + ALI
12.4325;11.353611111111;01/03/2021 12:00;IED
-1.6333333333333;13.873611111111;02/03/2021 13:30;IED
-8.0725;12.744166666667;03/03/2021 18:00;IED
-2.242072;14.448284;04/03/2021 03:40;IED + ALI
-1.3038888888889;14.791111111111;04/03/2021 16:50;IED
12.4325;11.372222222222;04/03/2021 17:03;IED
1.4468666666667;18.439797222222;05/03/2021 08:26;EO
13.338611111111;13.675277777778;05/03/2021 12:32;IED
37.183333333333;32.108055555556;06/03/2021 07:15;EO
1.4409583333333;18.426080555556;06/03/2021 10:00;EO
2.0705555555556;14.365;06/03/2021 15:00;EO
-6.0452305555556;14.855372222222;07/03/2021 12:36;IED
-1.6097222222222;15.721666666667;08/03/2021 05:00;IED
14.672777777778;13.356111111111;08/03/2021 10:10;IED
